State,UsaStateCode,ActiveUser,Always,Cases,CasesAvg,CasesAvgPer100K,Frequently,Never,PassiveUser,Rarely,Sometimes,PercentDemocrat
Alabama,AL,0.582985075,0.475313433,19.06608255,18.396319012,25.939575108,0.215343284,0.081567164,0.162656716,0.081089552,0.14661194,37.032892056
Alaska,AK,0.64326087,0.483608696,6.983415509,6.933551472,18.666382614,0.319304348,0.055521739,0.115043478,0.059521739,0.081913043,36.098992561
Arizona,AZ,0.728666667,0.655,112.699870912,109.083328313,26.592520046,0.147333333,0.049666667,0.102866667,0.0532,0.094666667,50.259682241
Arkansas,AR,0.57318,0.462866667,10.627737915,10.799292863,27.228165765,0.220626667,0.09092,0.178173333,0.087253333,0.13836,35.609218464
California,CA,0.792842105,0.71322807,135.144346197,129.183747731,16.423581467,0.15922807,0.03254386,0.063666667,0.031122807,0.063842105,65.934760448
Colorado,CO,0.669601562,0.5474375,19.013991163,18.776910615,21.545336251,0.244328125,0.03915625,0.11109375,0.0719375,0.097265625,56.769307427
Connecticut,CT,0.8426875,0.7795,71.179762361,70.706596397,15.254849914,0.126375,0.0175,0.0405,0.023,0.053625,60.241899847
Delaware,DE,0.8655,0.817666667,50.355828221,49.728580193,19.402605714,0.095666667,0.019333333,0.026,0.006666667,0.060666667,59.646859289
District of Columbia,DC,0.825,0.743,96.61,94.3893,13.374566667,0.164,0.012,0.025,0.013,0.069,94.707519871
Florida,FL,0.679701493,0.582552239,67.830591009,66.195372392,22.247422493,0.194298507,0.055253731,0.112776119,0.057522388,0.110343284,48.298455814
Georgia,GA,0.612210692,0.512314465,14.246073877,14.04124353,21.652287692,0.199792453,0.083333333,0.161710692,0.078377358,0.126144654,50.105177300
Hawaii,HI,0.869125,0.80625,14.479757085,14.371578947,5.118639399,0.12575,0.01375,0.034,0.02025,0.03375,65.042567265
Idaho,ID,0.496761364,0.386840909,12.208617563,12.116942406,27.464455752,0.219840909,0.103772727,0.248568182,0.144795455,0.144772727,34.124564512
Illinois,IL,0.619823529,0.510078431,34.10090739,34.416278643,29.087381148,0.219490196,0.07227451,0.143588235,0.071313725,0.126872549,57.923430701
Indiana,IN,0.568679348,0.450217391,19.531321185,19.094864844,25.864979091,0.236923913,0.086097826,0.182532609,0.096434783,0.130423913,41.782618163
Iowa,IA,0.503555556,0.39620202,10.319120879,10.320134066,32.992237928,0.214707071,0.104323232,0.221646465,0.117323232,0.167424242,45.815641776
Kansas,KS,0.50532381,0.395590476,8.342152002,8.221779768,34.76782906,0.219466667,0.116885714,0.233828571,0.116942857,0.151114286,42.251425567
Kentucky,KY,0.595395833,0.4914,8.132010406,8.075786799,20.983926152,0.207991667,0.086333333,0.169458333,0.083125,0.131091667,36.684639397
Louisiana,LA,0.627234375,0.52365625,17.01154697,17.433957805,26.978603376,0.20715625,0.082328125,0.15478125,0.072453125,0.11440625,40.528941936
Maine,ME,0.693,0.592375,5.019912881,4.867805435,4.859410596,0.20125,0.0475,0.1064375,0.0589375,0.1000625,55.185234417
Maryland,MD,0.823666667,0.74275,38.41182184,37.663688081,14.661436815,0.161833333,0.022916667,0.043833333,0.020916667,0.051541667,64.853345078
Massachusetts,MA,0.862857143,0.797285714,84.423492349,84.520990099,14.880375632,0.131142857,0.0195,0.031285714,0.011785714,0.040142857,66.783356008
Michigan,MI,0.684246988,0.574807229,22.533179309,22.789845976,17.709426159,0.218879518,0.044795181,0.106060241,0.06126506,0.100289157,51.358895544
Minnesota,MN,0.497091954,0.375528736,17.260679854,17.354740691,28.389994953,0.243126437,0.103195402,0.225528736,0.122333333,0.155701149,53.625750234
Mississippi,MS,0.627493902,0.526878049,9.174467542,9.022247587,27.638441251,0.201231707,0.067817073,0.152304878,0.084487805,0.119536585,39.547744782
Missouri,MO,0.481826087,0.376556522,13.255137257,13.093511066,24.511794479,0.21053913,0.13406087,0.261226087,0.127165217,0.151652174,42.063540144
Montana,MT,0.425107143,0.317535714,6.39938905,6.473658651,35.69586088,0.215142857,0.150857143,0.322446429,0.171589286,0.144892857,41.626571155
Nebraska,NE,0.482107527,0.351451613,7.38534331,7.662788292,33.217254823,0.261311828,0.123806452,0.241516129,0.117709677,0.145752688,40.072514357
Nevada,NV,0.725441176,0.628647059,49.248687664,48.358366142,21.204309057,0.193588235,0.029294118,0.071117647,0.041823529,0.106764706,51.324648910
New Hampshire,NH,0.7201,0.6263,13.893341748,13.507472389,8.077552641,0.1876,0.0551,0.1127,0.0576,0.0735,53.621186187
New Jersey,NJ,0.827380952,0.748428571,74.196099675,76.612019811,16.365064872,0.157904762,0.022904762,0.044142857,0.021238095,0.049428571,59.249226681
New Mexico,NM,0.749848485,0.67,15.668530702,15.430868421,23.380984515,0.15969697,0.042181818,0.091818182,0.049636364,0.078606061,55.400904619
New York,NY,0.837572581,0.769935484,58.213818528,55.946446664,11.369619598,0.135274194,0.02283871,0.045290323,0.022451613,0.049387097,56.481076034
North Carolina,NC,0.70247,0.60331,19.318409026,18.675525564,18.3521983,0.19832,0.05378,0.10034,0.04656,0.09803,49.300746833
North Dakota,ND,0.383150943,0.257245283,6.773229846,6.970562349,45.781020088,0.251811321,0.180981132,0.345,0.164018868,0.145924528,32.800608610
Ohio,OH,0.547693182,0.438852273,27.954817594,26.534898619,20.073697963,0.217681818,0.091454545,0.193159091,0.101704545,0.150272727,45.947960846
Oklahoma,OK,0.499136364,0.386103896,13.713046757,13.457407617,28.734889451,0.226064935,0.100363636,0.221155844,0.120792208,0.166636364,33.059960503
Oregon,OR,0.734513889,0.640416667,11.52894151,11.282506578,10.106934714,0.188194444,0.036666667,0.085666667,0.049,0.085611111,58.308331992
Pennsylvania,PA,0.757298507,0.671970149,33.389839268,32.301243992,17.032791905,0.170656716,0.035835821,0.071223881,0.03538806,0.086253731,50.341960799
Rhode Island,RI,0.87,0.802,51.252331002,90.834941725,18.181510638,0.136,0.0122,0.0218,0.0096,0.04,60.336999192
South Carolina,SC,0.627956522,0.532826087,23.318950482,22.591528778,20.527330804,0.19026087,0.097130435,0.167673913,0.070543478,0.109282609,44.075805101
South Dakota,SD,0.4701,0.361030769,5.895368884,5.862567029,44.030856166,0.218138462,0.148292308,0.253815385,0.105523077,0.167107692,36.560062005
Tennessee,TN,0.531952632,0.427189474,21.217631364,22.370722597,32.478691288,0.209526316,0.110042105,0.2114,0.101357895,0.151957895,38.116591478
Texas,TX,0.696891732,0.602559055,26.314235182,25.015933803,22.533674871,0.188665354,0.051889764,0.111566929,0.059677165,0.097192913,47.041903767
Utah,UT,0.555689655,0.419758621,34.645791583,34.789641784,23.20318229,0.271862069,0.093068966,0.190034483,0.096965517,0.118275862,39.187044853
Vermont,VT,0.728821429,0.66,1.728544776,1.761044776,3.867097902,0.137642857,0.045357143,0.133142857,0.087785714,0.069285714,67.156181841
Virginia,VA,0.72674812,0.637827068,9.413107868,9.186866552,15.86688292,0.177842105,0.04187218,0.088300752,0.046428571,0.096022556,54.948497359
Washington,WA,0.761076923,0.669871795,21.692068429,21.591552618,11.980627934,0.182410256,0.037897436,0.076769231,0.038871795,0.070666667,60.330912079
West Virginia,WV,0.591636364,0.482418182,5.64415636,5.523361995,16.581304904,0.218436364,0.086072727,0.163145455,0.077072727,0.136054545,30.112470730
Wisconsin,WI,0.549659722,0.4335,25.755332311,25.360581482,31.265062994,0.232319444,0.086833333,0.188875,0.102041667,0.145361111,50.316901289
Wyoming,WY,0.452434783,0.336434783,6.979412227,6.991596731,26.154846626,0.232,0.151608696,0.308608696,0.157,0.123,27.517900030
